miRNA Number_of_reads
hsa-mir-450b-5p 2697
hsa-mir-744-3p 4853
hsa-mir-3140-3p 429
hsa-mir-5684-5p 4
hsa-mir-3917-loop 4
hsa-mir-4750-5p 5
hsa-mir-183-5p 809408
hsa-mir-6787-3p 32
hsa-mir-4444-1-loop 7
hsa-mir-4684-3p 46
hsa-mir-455-loop 34
hsa-mir-6511b-2-3p 111
hsa-mir-532-5p 32784
hsa-mir-5587-5p 13
hsa-mir-5091-5p 5
hsa-mir-548d-1-loop 175
hsa-mir-18a-5p 95086
hsa-mir-7112-loop 77
hsa-mir-16-1-5p 332512
hsa-mir-3179-3-3p 151
hsa-mir-222-3p 1299288
hsa-mir-30d-5p 985744
hsa-mir-3619-5p 210
hsa-mir-3137-3p 2
hsa-mir-660-3p 450
hsa-mir-6782-loop 4
hsa-mir-455-3p 23584
hsa-mir-660-loop 2
hsa-mir-4482-3p 39
hsa-mir-4664-3p 310
hsa-mir-6770-3-loop 1
hsa-mir-622-3p 3
hsa-mir-361-5p 49264
hsa-mir-10a-5p 652441
hsa-mir-452-loop 22
hsa-mir-3610-3p 15
hsa-mir-324-3p 1485
hsa-mir-4477a-3p 1
hsa-mir-3160-1-3p 25
hsa-mir-3613-3p 288
hsa-mir-4436b-1-3p 31
hsa-mir-4717-3p 12
hsa-mir-4463-3p 5
hsa-mir-3199-2-3p 5
hsa-mir-3648-2-5p 127
hsa-mir-5695-3p 36
hsa-mir-345-5p 22004
hsa-mir-3941-5p 51
hsa-mir-491-5p 399
hsa-mir-218-2-5p 659
hsa-mir-3672-5p 38
hsa-mir-24-2-5p 15707
hsa-mir-1914-3p 74
hsa-mir-5699-3p 201
hsa-mir-941-3-loop 207
hsa-mir-103a-2-5p 191
hsa-mir-129-1-3p 39
hsa-mir-3611-5p 12
hsa-mir-27b-3p 224185
hsa-mir-4477b-3p 24
hsa-mir-548aj-2-5p 14
hsa-mir-4484-3p 916
hsa-mir-124-3-3p 7
hsa-mir-19b-2-3p 120379
hsa-mir-372-3p 9
hsa-mir-3679-5p 144
hsa-mir-1972-2-3p 3
hsa-mir-4664-5p 510
hsa-mir-125b-1-3p 9746
hsa-mir-129-1-5p 34
